season,team,TEAM_ABBREVIATION,first_name,last_name,full_name,position,salary,MIN,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS,mp,raptor_offense,raptor_defense,raptor_total,war_total
2002,Milwaukee Bucks,TOT,Ray,Allen,Ray Allen,Shooting Guard,12375000,2879.736667,0.439,0.377,0.916,381,334,198,103,14,1713,2525,5.155374701,-0.39024004,4.765134661,9.668144917
2002,Milwaukee Bucks,SEA,Ray,Allen,Ray Allen,Shooting Guard,12375000,1197.57,0.441,0.351,0.92,163,170,81,46,3,710,2525,5.155374701,-0.39024004,4.765134661,9.668144917
2002,Milwaukee Bucks,MIL,Ray,Allen,Ray Allen,Shooting Guard,12375000,1682.166667,0.437,0.395,0.913,218,164,117,57,11,1003,2525,5.155374701,-0.39024004,4.765134661,9.668144917
2003,Seattle SuperSonics,SEA,Ray,Allen,Ray Allen,Shooting Guard,13500000,2156.666667,0.44,0.392,0.904,286,268,156,71,11,1287,2880,5.126669055,0.005688846,5.132357901,11.82030983
2004,Seattle SuperSonics,SEA,Ray,Allen,Ray Allen,Shooting Guard,14625000,3068.548333,0.428,0.376,0.883,347,289,171,84,5,1867,2152,5.58742293,-0.883311669,4.704111261,8.168874616
2005,Seattle SuperSonics,SEA,Ray,Allen,Ray Allen,Shooting Guard,13223140,3022.223333,0.454,0.412,0.903,332,286,188,105,16,1955,3500,6.128334103,-1.40147961,4.726854493,13.388273
2006,Seattle SuperSonics,SEA,Ray,Allen,Ray Allen,Shooting Guard,14611570,2218.993333,0.438,0.372,0.903,247,228,154,82,11,1454,3022,6.609279958,-1.580073309,5.029206648,11.95595668
2007,Boston Celtics,BOS,Ray,Allen,Ray Allen,Shooting Guard,16000000,2623.535,0.445,0.398,0.907,268,225,127,65,16,1273,2219,4.749219967,-1.326226416,3.42299355,6.980906547
2008,Boston Celtics,BOS,Ray,Allen,Ray Allen,Shooting Guard,18388430,2875.73,0.48,0.409,0.952,278,218,134,69,13,1434,3611,3.446308306,-0.246529685,3.199778621,11.02166627
2009,Boston Celtics,BOS,Ray,Allen,Ray Allen,Shooting Guard,18776860,2819.036667,0.477,0.363,0.913,253,210,129,64,25,1304,3441,4.487473335,0.595053426,5.082526761,13.7640268
2010,Boston Celtics,BOS,Ray,Allen,Ray Allen,Shooting Guard,10000000,2890.006667,0.491,0.444,0.881,274,219,117,77,16,1321,3744,3.067216715,-0.0677454,2.999471315,11.09093188
2011,Boston Celtics,BOS,Ray,Allen,Ray Allen,Shooting Guard,10000000,1564.98,0.458,0.453,0.915,142,109,68,49,8,655,3251,3.061008326,0.346472575,3.407480901,10.21627557
2012,Miami Heat,MIA,Ray,Allen,Ray Allen,Shooting Guard,3090000,2035.251667,0.449,0.419,0.886,217,135,103,67,15,863,2181,1.571274583,-0.583252694,0.988021888,4.16721067
2013,Miami Heat,MIA,Ray,Allen,Ray Allen,Shooting Guard,3229050,1935.765,0.442,0.375,0.905,205,143,84,54,8,701,2608,2.31506015,-2.061021701,0.254038449,4.025040977
2005,Boston Celtics,BOS,Tony,Allen,Tony Allen,Shooting Guard and Small Forward and Point Guard,969696,978.0516667,0.471,0.324,0.746,111,67,67,51,18,369,1352,-0.228063759,2.508467194,2.280403435,3.465449336
